Year,Language,Popularity
2020,TypeScript,1.87111111111111
2004,VBA,1.555
2005,VBA,1.55166666666667
2006,VBA,1.61416666666667
2007,VBA,1.695
2008,VBA,1.73166666666667
2009,VBA,2.00916666666667
2010,VBA,2.38
2011,VBA,2.10666666666667
2012,VBA,2.2525
2013,VBA,1.70916666666667
2014,VBA,1.655
2015,VBA,1.55416666666667
2016,VBA,1.46916666666667
2017,VBA,1.425
2018,VBA,1.40833333333333
2019,VBA,1.3275
2020,VBA,1.26333333333333
2004,Visual-Basic,8.69
2005,Visual-Basic,7.47166666666667
2006,Visual-Basic,6.39416666666667
2007,Visual-Basic,5.62
2008,Visual-Basic,5.26666666666667
2009,Visual-Basic,5.375
2010,Visual-Basic,5.225
2011,Visual-Basic,4.67916666666667
2012,Visual-Basic,3.87
2013,Visual-Basic,3.175
2014,Visual-Basic,2.74
2015,Visual-Basic,2.18083333333333
2016,Visual-Basic,1.75833333333333
2017,Visual-Basic,1.42
2018,Visual-Basic,1.19
2019,Visual-Basic,1.05666666666667
2020,Visual-Basic,0.866666666666667
